GEO_ID,NAME,PCT_WHITE,PCT_BLACK,PCT_HISPANIC,TOTAL,B03002_001M,B03002_002E,B03002_002M,WHITE,B03002_003M,BLACK,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,HISPANIC,B03002_012M,B03002_013E,B03002_013M,B03002_014E,B03002_014M,B03002_015E,B03002_015M,B03002_016E,B03002_016M,B03002_017E,B03002_017M,B03002_018E,B03002_018M,B03002_019E,B03002_019M,B03002_020E,B03002_020M,B03002_021E,B03002_021M
290059502002,"Block Group 2, Census Tract 9502, Atchison County, Missouri",0.994962217,0,0,397,89,397,89,395,89,0,11,0,11,2,5,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290059502003,"Block Group 3, Census Tract 9502, Atchison County, Missouri",0.947695035,0,0.015070922,1128,119,1111,122,1069,116,0,11,30,23,12,13,0,11,0,11,0,11,0,11,0,11,17,19,4,6,0,11,0,11,0,11,0,11,13,18,0,11,0,11,0,11
290079501001,"Block Group 1, Census Tract 9501, Audrain County, Missouri",0.861003861,0.034749035,0.03989704,777,165,746,166,669,148,27,27,0,11,9,18,0,11,0,11,41,58,0,11,41,58,31,46,0,11,0,11,31,46,0,11,0,11,0,11,0,11,0,11,0,11
290079501002,"Block Group 2, Census Tract 9501, Audrain County, Missouri",0.810755337,0.117816092,0.004926108,2436,231,2424,233,1975,205,287,141,9,16,21,21,0,11,0,11,132,89,0,11,132,89,12,11,6,10,0,11,0,11,0,11,0,11,6,10,0,11,0,11,0,11
290079501003,"Block Group 3, Census Tract 9501, Audrain County, Missouri",0.795948987,0.170292573,0,1333,235,1333,235,1061,208,227,110,0,11,0,11,10,16,0,11,35,35,0,11,35,35,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290079502001,"Block Group 1, Census Tract 9502, Audrain County, Missouri",0.944730077,0,0.055269923,778,347,735,325,735,325,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,43,65,43,65,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290079502002,"Block Group 2, Census Tract 9502, Audrain County, Missouri",0.976671851,0.023328149,0,643,179,643,179,628,178,15,17,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290079502003,"Block Group 3, Census Tract 9502, Audrain County, Missouri",0.889133627,0.089574156,0.002202643,1362,425,1359,425,1211,357,122,90,2,3,0,11,0,11,0,11,24,25,0,11,24,25,3,6,2,4,0,11,1,3,0,11,0,11,0,11,0,11,0,11,0,11
290079502004,"Block Group 4, Census Tract 9502, Audrain County, Missouri",0.973459716,0,0.026540284,1055,292,1027,291,1027,291,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,28,44,28,44,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290079502005,"Block Group 5, Census Tract 9502, Audrain County, Missouri",0.866835764,0.012682308,0.001268231,1577,341,1575,341,1367,247,20,27,0,11,0,11,7,11,0,11,181,245,177,245,4,10,2,3,0,11,0,11,0,11,0,11,0,11,2,3,0,11,0,11,0,11
290079503001,"Block Group 1, Census Tract 9503, Audrain County, Missouri",0.947112039,0,0.052887961,1437,344,1361,336,1361,336,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,76,90,43,49,0,11,0,11,0,11,0,11,33,47,0,11,0,11,0,11
290079503002,"Block Group 2, Census Tract 9503, Audrain County, Missouri",0.995363215,0,0,647,226,647,226,644,226,0,11,3,7,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290079503003,"Block Group 3, Census Tract 9503, Audrain County, Missouri",0.870801034,0.086132644,0.008613264,1161,229,1151,230,1011,187,100,121,14,19,0,11,0,11,14,22,12,16,0,11,12,16,10,17,10,17,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290079504001,"Block Group 1, Census Tract 9504, Audrain County, Missouri",0.939237899,0,0.023686921,971,264,948,264,912,259,0,11,26,33,0,11,0,11,0,11,10,17,0,11,10,17,23,28,16,24,0,11,0,11,0,11,0,11,7,13,0,11,0,11,0,11
290079504002,"Block Group 2, Census Tract 9504, Audrain County, Missouri",0.924137931,0,0.027586207,870,206,846,200,804,201,0,11,0,11,0,11,0,11,0,11,42,36,0,11,42,36,24,40,24,40,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290079504003,"Block Group 3, Census Tract 9504, Audrain County, Missouri",0.809022556,0.183458647,0,665,158,665,158,538,148,122,73,1,3,0,11,0,11,0,11,4,8,0,11,4,8,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290079505001,"Block Group 1, Census Tract 9505, Audrain County, Missouri",0.819452533,0.030285381,0.02970297,1717,381,1666,377,1407,299,52,67,0,11,0,11,0,11,0,11,207,208,0,11,207,208,51,70,51,70,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290079505002,"Block Group 2, Census Tract 9505, Audrain County, Missouri",0.791044776,0,0.208955224,603,322,477,272,477,272,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,126,172,126,172,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290079505003,"Block Group 3, Census Tract 9505, Audrain County, Missouri",0.778846154,0.059294872,0.083333333,624,292,572,284,486,252,37,33,0,11,0,11,0,11,0,11,49,76,0,11,49,76,52,50,0,11,0,11,0,11,0,11,0,11,38,44,14,25,0,11,14,25
290079505004,"Block Group 4, Census Tract 9505, Audrain County, Missouri",0.599365751,0.183932347,0.206131078,946,287,751,222,567,228,174,155,0,11,3,7,0,11,0,11,7,11,0,11,7,11,195,141,195,141,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290079506001,"Block Group 1, Census Tract 9506, Audrain County, Missouri",0.826364281,0.026222537,0.02551382,1411,327,1375,315,1166,284,37,47,4,6,0,11,0,11,0,11,168,121,0,11,168,121,36,55,0,11,0,11,0,11,0,11,0,11,0,11,36,55,0,11,36,55
290079506002,"Block Group 2, Census Tract 9506, Audrain County, Missouri",0.928479381,0.029639175,0.005798969,1552,260,1543,260,1441,229,46,50,0,11,0,11,7,12,0,11,49,70,0,11,49,70,9,14,0,11,0,11,0,11,0,11,0,11,9,14,0,11,0,11,0,11
290079507001,"Block Group 1, Census Tract 9507, Audrain County, Missouri",0.847629797,0.044018059,0.081264108,886,238,814,232,751,205,39,107,0,11,0,11,0,11,0,11,24,37,0,11,24,37,72,65,18,22,0,11,0,11,0,11,0,11,54,63,0,11,0,11,0,11
290079507002,"Block Group 2, Census Tract 9507, Audrain County, Missouri",0.974683544,0,0,395,156,395,156,385,149,0,11,0,11,0,11,0,11,0,11,10,23,0,11,10,23,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290079507003,"Block Group 3, Census Tract 9507, Audrain County, Missouri",0.949860724,0,0.005571031,718,194,714,193,682,196,0,11,0,11,0,11,0,11,0,11,32,40,0,11,32,40,4,8,4,8,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290079507004,"Block Group 4, Census Tract 9507, Audrain County, Missouri",0.85,0.147222222,0,1080,235,1080,235,918,229,159,108,0,11,0,11,0,11,0,11,3,5,0,11,3,5,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290099601001,"Block Group 1, Census Tract 9601, Barry County, Missouri",0.986467236,0,0,1404,456,1404,456,1385,456,0,11,0,11,0,11,0,11,0,11,19,30,0,11,19,30,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290099601002,"Block Group 2, Census Tract 9601, Barry County, Missouri",1,0,0,1827,418,1827,418,1827,418,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290099601003,"Block Group 3, Census Tract 9601, Barry County, Missouri",1,0,0,816,491,816,491,816,491,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290099601004,"Block Group 4, Census Tract 9601, Barry County, Missouri",0.963176064,0,0,869,421,869,421,837,417,0,11,0,11,0,11,0,11,0,11,32,48,0,11,32,48,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290099601005,"Block Group 5, Census Tract 9601, Barry County, Missouri",1,0,0,957,282,957,282,957,282,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290099602001,"Block Group 1, Census Tract 9602, Barry County, Missouri",0.912471396,0,0,1748,609,1748,609,1595,619,0,11,0,11,117,126,0,11,0,11,36,54,36,54,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
