GEO_ID,GEOID,NAME,MEDIAN GROSS RENT,B25064_001M
1500000US290059501002,290059501002,"Block Group 2, Census Tract 9501, Atchison County, Missouri",482,45
1500000US290059501003,290059501003,"Block Group 3, Census Tract 9501, Atchison County, Missouri",520,121
1500000US290059501004,290059501004,"Block Group 4, Census Tract 9501, Atchison County, Missouri",613,38
1500000US290059502001,290059502001,"Block Group 1, Census Tract 9502, Atchison County, Missouri",535,98
1500000US290059502002,290059502002,"Block Group 2, Census Tract 9502, Atchison County, Missouri",605,160
1500000US290059502003,290059502003,"Block Group 3, Census Tract 9502, Atchison County, Missouri",469,133
1500000US290079501001,290079501001,"Block Group 1, Census Tract 9501, Audrain County, Missouri",640,149
1500000US290079501002,290079501002,"Block Group 2, Census Tract 9501, Audrain County, Missouri",705,211
1500000US290079501003,290079501003,"Block Group 3, Census Tract 9501, Audrain County, Missouri",578,66
1500000US290079502001,290079502001,"Block Group 1, Census Tract 9502, Audrain County, Missouri",446,167
1500000US290079502002,290079502002,"Block Group 2, Census Tract 9502, Audrain County, Missouri",463,69
1500000US290079502003,290079502003,"Block Group 3, Census Tract 9502, Audrain County, Missouri",621,92
1500000US290079502004,290079502004,"Block Group 4, Census Tract 9502, Audrain County, Missouri",643,89
1500000US290079502005,290079502005,"Block Group 5, Census Tract 9502, Audrain County, Missouri",544,243
1500000US290079503001,290079503001,"Block Group 1, Census Tract 9503, Audrain County, Missouri",1049,158
1500000US290079503002,290079503002,"Block Group 2, Census Tract 9503, Audrain County, Missouri",575,212
1500000US290079503003,290079503003,"Block Group 3, Census Tract 9503, Audrain County, Missouri",-,**
1500000US290079504001,290079504001,"Block Group 1, Census Tract 9504, Audrain County, Missouri",683,159
1500000US290079504002,290079504002,"Block Group 2, Census Tract 9504, Audrain County, Missouri",717,56
1500000US290079504003,290079504003,"Block Group 3, Census Tract 9504, Audrain County, Missouri",607,222
1500000US290079505001,290079505001,"Block Group 1, Census Tract 9505, Audrain County, Missouri",780,205
1500000US290079505002,290079505002,"Block Group 2, Census Tract 9505, Audrain County, Missouri",594,120
1500000US290079505003,290079505003,"Block Group 3, Census Tract 9505, Audrain County, Missouri",635,105
1500000US290079505004,290079505004,"Block Group 4, Census Tract 9505, Audrain County, Missouri",780,21
1500000US290079506001,290079506001,"Block Group 1, Census Tract 9506, Audrain County, Missouri",592,258
1500000US290079506002,290079506002,"Block Group 2, Census Tract 9506, Audrain County, Missouri",648,82
1500000US290079507001,290079507001,"Block Group 1, Census Tract 9507, Audrain County, Missouri",761,29
1500000US290079507002,290079507002,"Block Group 2, Census Tract 9507, Audrain County, Missouri",287,229
1500000US290079507003,290079507003,"Block Group 3, Census Tract 9507, Audrain County, Missouri",670,318
1500000US290079507004,290079507004,"Block Group 4, Census Tract 9507, Audrain County, Missouri",579,173
1500000US290099601001,290099601001,"Block Group 1, Census Tract 9601, Barry County, Missouri",-,**
1500000US290099601002,290099601002,"Block Group 2, Census Tract 9601, Barry County, Missouri",833,399
1500000US290099601003,290099601003,"Block Group 3, Census Tract 9601, Barry County, Missouri",-,**
1500000US290099601004,290099601004,"Block Group 4, Census Tract 9601, Barry County, Missouri",-,**
1500000US290099601005,290099601005,"Block Group 5, Census Tract 9601, Barry County, Missouri",-,**
1500000US290099602001,290099602001,"Block Group 1, Census Tract 9602, Barry County, Missouri",-,**
1500000US290099602002,290099602002,"Block Group 2, Census Tract 9602, Barry County, Missouri",525,168
1500000US290099602003,290099602003,"Block Group 3, Census Tract 9602, Barry County, Missouri",-,**
1500000US290099602004,290099602004,"Block Group 4, Census Tract 9602, Barry County, Missouri",553,284
1500000US290099602005,290099602005,"Block Group 5, Census Tract 9602, Barry County, Missouri",654,179
1500000US290099603001,290099603001,"Block Group 1, Census Tract 9603, Barry County, Missouri",756,249
1500000US290099603002,290099603002,"Block Group 2, Census Tract 9603, Barry County, Missouri",993,124
1500000US290099603003,290099603003,"Block Group 3, Census Tract 9603, Barry County, Missouri",588,403
1500000US290099603004,290099603004,"Block Group 4, Census Tract 9603, Barry County, Missouri",1013,407
1500000US290099603005,290099603005,"Block Group 5, Census Tract 9603, Barry County, Missouri",642,219
1500000US290099603006,290099603006,"Block Group 6, Census Tract 9603, Barry County, Missouri",893,456
1500000US290099604011,290099604011,"Block Group 1, Census Tract 9604.01, Barry County, Missouri",651,99
1500000US290099604012,290099604012,"Block Group 2, Census Tract 9604.01, Barry County, Missouri",625,231
1500000US290099604013,290099604013,"Block Group 3, Census Tract 9604.01, Barry County, Missouri",605,91
1500000US290099604021,290099604021,"Block Group 1, Census Tract 9604.02, Barry County, Missouri",682,154
1500000US290099604022,290099604022,"Block Group 2, Census Tract 9604.02, Barry County, Missouri",567,196
1500000US290099604023,290099604023,"Block Group 3, Census Tract 9604.02, Barry County, Missouri",665,90
1500000US290099605001,290099605001,"Block Group 1, Census Tract 9605, Barry County, Missouri",671,401
1500000US290099605002,290099605002,"Block Group 2, Census Tract 9605, Barry County, Missouri",674,34
1500000US290099605003,290099605003,"Block Group 3, Census Tract 9605, Barry County, Missouri",776,190
1500000US290099605004,290099605004,"Block Group 4, Census Tract 9605, Barry County, Missouri",-,**
1500000US290099605005,290099605005,"Block Group 5, Census Tract 9605, Barry County, Missouri",717,156
1500000US290099606001,290099606001,"Block Group 1, Census Tract 9606, Barry County, Missouri",1017,401
1500000US290099606002,290099606002,"Block Group 2, Census Tract 9606, Barry County, Missouri",606,350
1500000US290119601001,290119601001,"Block Group 1, Census Tract 9601, Barton County, Missouri",476,32
1500000US290119601002,290119601002,"Block Group 2, Census Tract 9601, Barton County, Missouri",602,205
1500000US290119601003,290119601003,"Block Group 3, Census Tract 9601, Barton County, Missouri",535,139
1500000US290119602001,290119602001,"Block Group 1, Census Tract 9602, Barton County, Missouri",536,235
1500000US290119602002,290119602002,"Block Group 2, Census Tract 9602, Barton County, Missouri",661,273
1500000US290119602003,290119602003,"Block Group 3, Census Tract 9602, Barton County, Missouri",555,101
1500000US290119602004,290119602004,"Block Group 4, Census Tract 9602, Barton County, Missouri",513,385
1500000US290119603001,290119603001,"Block Group 1, Census Tract 9603, Barton County, Missouri",578,127
1500000US290119603002,290119603002,"Block Group 2, Census Tract 9603, Barton County, Missouri",-,**
1500000US290119603003,290119603003,"Block Group 3, Census Tract 9603, Barton County, Missouri",490,122
1500000US290119603004,290119603004,"Block Group 4, Census Tract 9603, Barton County, Missouri",423,75
1500000US290119603005,290119603005,"Block Group 5, Census Tract 9603, Barton County, Missouri",1039,792
1500000US290130701001,290130701001,"Block Group 1, Census Tract 701, Bates County, Missouri",633,92
1500000US290130701002,290130701002,"Block Group 2, Census Tract 701, Bates County, Missouri",618,35
1500000US290130701003,290130701003,"Block Group 3, Census Tract 701, Bates County, Missouri",739,103
1500000US290130702001,290130702001,"Block Group 1, Census Tract 702, Bates County, Missouri",-,**
1500000US290130702002,290130702002,"Block Group 2, Census Tract 702, Bates County, Missouri",673,78
1500000US290130702003,290130702003,"Block Group 3, Census Tract 702, Bates County, Missouri",747,194
1500000US290130702004,290130702004,"Block Group 4, Census Tract 702, Bates County, Missouri",1375,299
1500000US290130703001,290130703001,"Block Group 1, Census Tract 703, Bates County, Missouri",712,200
1500000US290130703002,290130703002,"Block Group 2, Census Tract 703, Bates County, Missouri",754,118
1500000US290130703003,290130703003,"Block Group 3, Census Tract 703, Bates County, Missouri",619,125
1500000US290130703004,290130703004,"Block Group 4, Census Tract 703, Bates County, Missouri",520,118
1500000US290130704001,290130704001,"Block Group 1, Census Tract 704, Bates County, Missouri",796,446
1500000US290130704002,290130704002,"Block Group 2, Census Tract 704, Bates County, Missouri",575,106
1500000US290130704003,290130704003,"Block Group 3, Census Tract 704, Bates County, Missouri",639,336
1500000US290154601001,290154601001,"Block Group 1, Census Tract 4601, Benton County, Missouri",-,**
1500000US290154601002,290154601002,"Block Group 2, Census Tract 4601, Benton County, Missouri",961,606
1500000US290154601003,290154601003,"Block Group 3, Census Tract 4601, Benton County, Missouri",665,86
1500000US290154602001,290154602001,"Block Group 1, Census Tract 4602, Benton County, Missouri",625,364
1500000US290154602002,290154602002,"Block Group 2, Census Tract 4602, Benton County, Missouri",664,47
1500000US290154603001,290154603001,"Block Group 1, Census Tract 4603, Benton County, Missouri",-,**
1500000US290154603002,290154603002,"Block Group 2, Census Tract 4603, Benton County, Missouri",578,71
1500000US290154603003,290154603003,"Block Group 3, Census Tract 4603, Benton County, Missouri",581,126
1500000US290154604001,290154604001,"Block Group 1, Census Tract 4604, Benton County, Missouri",-,**
1500000US290154604002,290154604002,"Block Group 2, Census Tract 4604, Benton County, Missouri",-,**
1500000US290154607001,290154607001,"Block Group 1, Census Tract 4607, Benton County, Missouri",750,190
1500000US290154607002,290154607002,"Block Group 2, Census Tract 4607, Benton County, Missouri",-,**
1500000US290154608001,290154608001,"Block Group 1, Census Tract 4608, Benton County, Missouri",430,14
1500000US290154608002,290154608002,"Block Group 2, Census Tract 4608, Benton County, Missouri",-,**
1500000US290154608003,290154608003,"Block Group 3, Census Tract 4608, Benton County, Missouri",1018,366
1500000US290154608004,290154608004,"Block Group 4, Census Tract 4608, Benton County, Missouri",449,37
1500000US290179501001,290179501001,"Block Group 1, Census Tract 9501, Bollinger County, Missouri",497,379
1500000US290179501002,290179501002,"Block Group 2, Census Tract 9501, Bollinger County, Missouri",-,**
1500000US290179501003,290179501003,"Block Group 3, Census Tract 9501, Bollinger County, Missouri",-,**
1500000US290179501004,290179501004,"Block Group 4, Census Tract 9501, Bollinger County, Missouri",917,301
1500000US290179502001,290179502001,"Block Group 1, Census Tract 9502, Bollinger County, Missouri",727,68
1500000US290179502002,290179502002,"Block Group 2, Census Tract 9502, Bollinger County, Missouri",598,121
1500000US290179502003,290179502003,"Block Group 3, Census Tract 9502, Bollinger County, Missouri",611,118
1500000US290179502004,290179502004,"Block Group 4, Census Tract 9502, Bollinger County, Missouri",1063,505
1500000US290179503001,290179503001,"Block Group 1, Census Tract 9503, Bollinger County, Missouri",624,16
1500000US290179503002,290179503002,"Block Group 2, Census Tract 9503, Bollinger County, Missouri",233,146
1500000US290179503003,290179503003,"Block Group 3, Census Tract 9503, Bollinger County, Missouri",-,**
1500000US290190002001,290190002001,"Block Group 1, Census Tract 2, Boone County, Missouri",756,53
1500000US290190002002,290190002002,"Block Group 2, Census Tract 2, Boone County, Missouri",674,69
1500000US290190003001,290190003001,"Block Group 1, Census Tract 3, Boone County, Missouri",990,283
1500000US290190003002,290190003002,"Block Group 2, Census Tract 3, Boone County, Missouri",917,381
1500000US290190003003,290190003003,"Block Group 3, Census Tract 3, Boone County, Missouri",748,134
1500000US290190005001,290190005001,"Block Group 1, Census Tract 5, Boone County, Missouri",814,198
1500000US290190005002,290190005002,"Block Group 2, Census Tract 5, Boone County, Missouri",1030,261
1500000US290190006001,290190006001,"Block Group 1, Census Tract 6, Boone County, Missouri",-,**
1500000US290190006002,290190006002,"Block Group 2, Census Tract 6, Boone County, Missouri",1446,392
1500000US290190006003,290190006003,"Block Group 3, Census Tract 6, Boone County, Missouri",1094,326
1500000US290190006004,290190006004,"Block Group 4, Census Tract 6, Boone County, Missouri",796,248
1500000US290190007001,290190007001,"Block Group 1, Census Tract 7, Boone County, Missouri",917,65
1500000US290190007002,290190007002,"Block Group 2, Census Tract 7, Boone County, Missouri",948,176
1500000US290190007003,290190007003,"Block Group 3, Census Tract 7, Boone County, Missouri",993,93
1500000US290190009001,290190009001,"Block Group 1, Census Tract 9, Boone County, Missouri",719,92
1500000US290190009002,290190009002,"Block Group 2, Census Tract 9, Boone County, Missouri",697,43
1500000US290190010011,290190010011,"Block Group 1, Census Tract 10.01, Boone County, Missouri",816,50
1500000US290190010012,290190010012,"Block Group 2, Census Tract 10.01, Boone County, Missouri",620,82
1500000US290190010013,290190010013,"Block Group 3, Census Tract 10.01, Boone County, Missouri",-,**
1500000US290190010021,290190010021,"Block Group 1, Census Tract 10.02, Boone County, Missouri",1067,122
1500000US290190010022,290190010022,"Block Group 2, Census Tract 10.02, Boone County, Missouri",716,286
1500000US290190010023,290190010023,"Block Group 3, Census Tract 10.02, Boone County, Missouri",923,445
1500000US290190011011,290190011011,"Block Group 1, Census Tract 11.01, Boone County, Missouri",1176,103
1500000US290190011012,290190011012,"Block Group 2, Census Tract 11.01, Boone County, Missouri",976,109
1500000US290190011013,290190011013,"Block Group 3, Census Tract 11.01, Boone County, Missouri",1032,130
1500000US290190011031,290190011031,"Block Group 1, Census Tract 11.03, Boone County, Missouri",1252,189
1500000US290190011032,290190011032,"Block Group 2, Census Tract 11.03, Boone County, Missouri",861,123
1500000US290190011033,290190011033,"Block Group 3, Census Tract 11.03, Boone County, Missouri",794,46
1500000US290190011034,290190011034,"Block Group 4, Census Tract 11.03, Boone County, Missouri",901,58
1500000US290190011041,290190011041,"Block Group 1, Census Tract 11.04, Boone County, Missouri",1179,688
1500000US290190011042,290190011042,"Block Group 2, Census Tract 11.04, Boone County, Missouri",922,72
1500000US290190011043,290190011043,"Block Group 3, Census Tract 11.04, Boone County, Missouri",935,112
1500000US290190012011,290190012011,"Block Group 1, Census Tract 12.01, Boone County, Missouri",686,337
1500000US290190012012,290190012012,"Block Group 2, Census Tract 12.01, Boone County, Missouri",-,**
1500000US290190012013,290190012013,"Block Group 3, Census Tract 12.01, Boone County, Missouri",980,342
1500000US290190012014,290190012014,"Block Group 4, Census Tract 12.01, Boone County, Missouri",-,**
1500000US290190012021,290190012021,"Block Group 1, Census Tract 12.02, Boone County, Missouri",940,120
1500000US290190012022,290190012022,"Block Group 2, Census Tract 12.02, Boone County, Missouri",996,780
1500000US290190013001,290190013001,"Block Group 1, Census Tract 13, Boone County, Missouri",753,82
1500000US290190013002,290190013002,"Block Group 2, Census Tract 13, Boone County, Missouri",848,31
1500000US290190014001,290190014001,"Block Group 1, Census Tract 14, Boone County, Missouri",977,122
1500000US290190014002,290190014002,"Block Group 2, Census Tract 14, Boone County, Missouri",1283,865
1500000US290190014003,290190014003,"Block Group 3, Census Tract 14, Boone County, Missouri",863,389
1500000US290190014004,290190014004,"Block Group 4, Census Tract 14, Boone County, Missouri",1045,98
1500000US290190015021,290190015021,"Block Group 1, Census Tract 15.02, Boone County, Missouri",780,193
1500000US290190015022,290190015022,"Block Group 2, Census Tract 15.02, Boone County, Missouri",978,117
1500000US290190015023,290190015023,"Block Group 3, Census Tract 15.02, Boone County, Missouri",698,32
1500000US290190015024,290190015024,"Block Group 4, Census Tract 15.02, Boone County, Missouri",754,235
1500000US290190015031,290190015031,"Block Group 1, Census Tract 15.03, Boone County, Missouri",793,47
1500000US290190015032,290190015032,"Block Group 2, Census Tract 15.03, Boone County, Missouri",833,296
1500000US290190015033,290190015033,"Block Group 3, Census Tract 15.03, Boone County, Missouri",1047,80
1500000US290190015041,290190015041,"Block Group 1, Census Tract 15.04, Boone County, Missouri",636,120
1500000US290190015042,290190015042,"Block Group 2, Census Tract 15.04, Boone County, Missouri",947,84
1500000US290190015043,290190015043,"Block Group 3, Census Tract 15.04, Boone County, Missouri",877,58
1500000US290190015044,290190015044,"Block Group 4, Census Tract 15.04, Boone County, Missouri",908,66
1500000US290190016011,290190016011,"Block Group 1, Census Tract 16.01, Boone County, Missouri",546,357
1500000US290190016012,290190016012,"Block Group 2, Census Tract 16.01, Boone County, Missouri",1015,258
1500000US290190016013,290190016013,"Block Group 3, Census Tract 16.01, Boone County, Missouri",885,42
1500000US290190016021,290190016021,"Block Group 1, Census Tract 16.02, Boone County, Missouri",933,246
1500000US290190016022,290190016022,"Block Group 2, Census Tract 16.02, Boone County, Missouri",832,317
1500000US290190017011,290190017011,"Block Group 1, Census Tract 17.01, Boone County, Missouri",555,73
1500000US290190017012,290190017012,"Block Group 2, Census Tract 17.01, Boone County, Missouri",908,215
1500000US290190017013,290190017013,"Block Group 3, Census Tract 17.01, Boone County, Missouri",746,447
1500000US290190017021,290190017021,"Block Group 1, Census Tract 17.02, Boone County, Missouri",1335,57
1500000US290190017022,290190017022,"Block Group 2, Census Tract 17.02, Boone County, Missouri",960,64
1500000US290190018031,290190018031,"Block Group 1, Census Tract 18.03, Boone County, Missouri",663,128
1500000US290190018032,290190018032,"Block Group 2, Census Tract 18.03, Boone County, Missouri",-,**
1500000US290190018033,290190018033,"Block Group 3, Census Tract 18.03, Boone County, Missouri",1081,77
1500000US290190018051,290190018051,"Block Group 1, Census Tract 18.05, Boone County, Missouri",1057,95
1500000US290190018052,290190018052,"Block Group 2, Census Tract 18.05, Boone County, Missouri",808,269
1500000US290190018053,290190018053,"Block Group 3, Census Tract 18.05, Boone County, Missouri",-,**
1500000US290190019011,290190019011,"Block Group 1, Census Tract 19.01, Boone County, Missouri",829,167
1500000US290190019012,290190019012,"Block Group 2, Census Tract 19.01, Boone County, Missouri",785,187
1500000US290190019021,290190019021,"Block Group 1, Census Tract 19.02, Boone County, Missouri",755,228
1500000US290190019022,290190019022,"Block Group 2, Census Tract 19.02, Boone County, Missouri",770,179
1500000US290190019023,290190019023,"Block Group 3, Census Tract 19.02, Boone County, Missouri",853,74
1500000US290190019024,290190019024,"Block Group 4, Census Tract 19.02, Boone County, Missouri",589,133
1500000US290190020001,290190020001,"Block Group 1, Census Tract 20, Boone County, Missouri",510,217
1500000US290190020002,290190020002,"Block Group 2, Census Tract 20, Boone County, Missouri",-,**
1500000US290190020003,290190020003,"Block Group 3, Census Tract 20, Boone County, Missouri",801,299
1500000US290190020004,290190020004,"Block Group 4, Census Tract 20, Boone County, Missouri",1010,637
1500000US290190021001,290190021001,"Block Group 1, Census Tract 21, Boone County, Missouri",730,83
1500000US290190021002,290190021002,"Block Group 2, Census Tract 21, Boone County, Missouri",672,92
1500000US290190021003,290190021003,"Block Group 3, Census Tract 21, Boone County, Missouri",723,246
1500000US290190022001,290190022001,"Block Group 1, Census Tract 22, Boone County, Missouri",746,27
1500000US290190022002,290190022002,"Block Group 2, Census Tract 22, Boone County, Missouri",-,**
1500000US290190022003,290190022003,"Block Group 3, Census Tract 22, Boone County, Missouri",1467,745
1500000US290210001001,290210001001,"Block Group 1, Census Tract 1, Buchanan County, Missouri",1106,104
1500000US290210001002,290210001002,"Block Group 2, Census Tract 1, Buchanan County, Missouri",830,62
1500000US290210002001,290210002001,"Block Group 1, Census Tract 2, Buchanan County, Missouri",915,44
1500000US290210002002,290210002002,"Block Group 2, Census Tract 2, Buchanan County, Missouri",-,**
1500000US290210002003,290210002003,"Block Group 3, Census Tract 2, Buchanan County, Missouri",952,41
1500000US290210003001,290210003001,"Block Group 1, Census Tract 3, Buchanan County, Missouri",832,55
1500000US290210003002,290210003002,"Block Group 2, Census Tract 3, Buchanan County, Missouri",605,168
1500000US290210004001,290210004001,"Block Group 1, Census Tract 4, Buchanan County, Missouri",760,199
1500000US290210004002,290210004002,"Block Group 2, Census Tract 4, Buchanan County, Missouri",783,22
1500000US290210005001,290210005001,"Block Group 1, Census Tract 5, Buchanan County, Missouri",823,119
1500000US290210005002,290210005002,"Block Group 2, Census Tract 5, Buchanan County, Missouri",633,460
1500000US290210005003,290210005003,"Block Group 3, Census Tract 5, Buchanan County, Missouri",763,330
1500000US290210006001,290210006001,"Block Group 1, Census Tract 6, Buchanan County, Missouri",983,227
1500000US290210006002,290210006002,"Block Group 2, Census Tract 6, Buchanan County, Missouri",691,107
1500000US290210006003,290210006003,"Block Group 3, Census Tract 6, Buchanan County, Missouri",1239,203
1500000US290210007011,290210007011,"Block Group 1, Census Tract 7.01, Buchanan County, Missouri",848,124
1500000US290210007012,290210007012,"Block Group 2, Census Tract 7.01, Buchanan County, Missouri",910,121
1500000US290210007021,290210007021,"Block Group 1, Census Tract 7.02, Buchanan County, Missouri",836,337
1500000US290210007022,290210007022,"Block Group 2, Census Tract 7.02, Buchanan County, Missouri",664,201
1500000US290210007023,290210007023,"Block Group 3, Census Tract 7.02, Buchanan County, Missouri",937,226
1500000US290210009001,290210009001,"Block Group 1, Census Tract 9, Buchanan County, Missouri",956,212
1500000US290210009002,290210009002,"Block Group 2, Census Tract 9, Buchanan County, Missouri",824,81
1500000US290210009003,290210009003,"Block Group 3, Census Tract 9, Buchanan County, Missouri",745,270
1500000US290210009004,290210009004,"Block Group 4, Census Tract 9, Buchanan County, Missouri",575,303
1500000US290210009005,290210009005,"Block Group 5, Census Tract 9, Buchanan County, Missouri",-,**
1500000US290210010001,290210010001,"Block Group 1, Census Tract 10, Buchanan County, Missouri",766,171
1500000US290210010002,290210010002,"Block Group 2, Census Tract 10, Buchanan County, Missouri",537,257
1500000US290210010003,290210010003,"Block Group 3, Census Tract 10, Buchanan County, Missouri",845,302
1500000US290210011001,290210011001,"Block Group 1, Census Tract 11, Buchanan County, Missouri",652,69
1500000US290210011002,290210011002,"Block Group 2, Census Tract 11, Buchanan County, Missouri",775,216
1500000US290210011003,290210011003,"Block Group 3, Census Tract 11, Buchanan County, Missouri",564,87
1500000US290210012001,290210012001,"Block Group 1, Census Tract 12, Buchanan County, Missouri",756,222
1500000US290210012002,290210012002,"Block Group 2, Census Tract 12, Buchanan County, Missouri",574,128
1500000US290210015001,290210015001,"Block Group 1, Census Tract 15, Buchanan County, Missouri",921,231
1500000US290210015002,290210015002,"Block Group 2, Census Tract 15, Buchanan County, Missouri",768,17
1500000US290210015003,290210015003,"Block Group 3, Census Tract 15, Buchanan County, Missouri",587,423
1500000US290210015004,290210015004,"Block Group 4, Census Tract 15, Buchanan County, Missouri",909,184
1500000US290210015005,290210015005,"Block Group 5, Census Tract 15, Buchanan County, Missouri",494,50
1500000US290210016001,290210016001,"Block Group 1, Census Tract 16, Buchanan County, Missouri",753,53
1500000US290210016002,290210016002,"Block Group 2, Census Tract 16, Buchanan County, Missouri",1059,149
1500000US290210016003,290210016003,"Block Group 3, Census Tract 16, Buchanan County, Missouri",741,78
1500000US290210017001,290210017001,"Block Group 1, Census Tract 17, Buchanan County, Missouri",754,159
1500000US290210017002,290210017002,"Block Group 2, Census Tract 17, Buchanan County, Missouri",989,160
1500000US290210018001,290210018001,"Block Group 1, Census Tract 18, Buchanan County, Missouri",623,195
1500000US290210018002,290210018002,"Block Group 2, Census Tract 18, Buchanan County, Missouri",961,48
1500000US290210018003,290210018003,"Block Group 3, Census Tract 18, Buchanan County, Missouri",577,282
1500000US290210021001,290210021001,"Block Group 1, Census Tract 21, Buchanan County, Missouri",1125,370
1500000US290210021002,290210021002,"Block Group 2, Census Tract 21, Buchanan County, Missouri",881,77
1500000US290210021003,290210021003,"Block Group 3, Census Tract 21, Buchanan County, Missouri",-,**
1500000US290210022001,290210022001,"Block Group 1, Census Tract 22, Buchanan County, Missouri",908,163
1500000US290210023001,290210023001,"Block Group 1, Census Tract 23, Buchanan County, Missouri",867,157
1500000US290210023002,290210023002,"Block Group 2, Census Tract 23, Buchanan County, Missouri",-,**
1500000US290210023003,290210023003,"Block Group 3, Census Tract 23, Buchanan County, Missouri",781,63
1500000US290210024001,290210024001,"Block Group 1, Census Tract 24, Buchanan County, Missouri",735,75
1500000US290210024002,290210024002,"Block Group 2, Census Tract 24, Buchanan County, Missouri",855,160
1500000US290210025001,290210025001,"Block Group 1, Census Tract 25, Buchanan County, Missouri",621,346
1500000US290210025002,290210025002,"Block Group 2, Census Tract 25, Buchanan County, Missouri",824,91
1500000US290210025003,290210025003,"Block Group 3, Census Tract 25, Buchanan County, Missouri",862,128
1500000US290210027001,290210027001,"Block Group 1, Census Tract 27, Buchanan County, Missouri",952,249
1500000US290210027002,290210027002,"Block Group 2, Census Tract 27, Buchanan County, Missouri",808,49
1500000US290210028001,290210028001,"Block Group 1, Census Tract 28, Buchanan County, Missouri",825,329
1500000US290210028002,290210028002,"Block Group 2, Census Tract 28, Buchanan County, Missouri",-,**
1500000US290210028003,290210028003,"Block Group 3, Census Tract 28, Buchanan County, Missouri",816,93
1500000US290210028004,290210028004,"Block Group 4, Census Tract 28, Buchanan County, Missouri",713,209
1500000US290210028005,290210028005,"Block Group 5, Census Tract 28, Buchanan County, Missouri",731,43
1500000US290210029001,290210029001,"Block Group 1, Census Tract 29, Buchanan County, Missouri",811,148
